,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
306,33,75000,2,6,6,0.5,0,42,8,48,10,10,16,0,31-35,"N50,000 - N100,000",Bank J,Male,Bank P,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
307,33,75000,4,6,6,0.5,0,42,8,48,10,10,8,0,31-35,"N50,000 - N100,000",Bank P,Male,Bank P,Abeokuta,Bachelor's Decree,Private Sector Employee,No,,
318,19,25000,4,0.5,2,0.5,0.5,63,36,49,36,18,0,3,18-20,"Below N50,000",Bank D,Female,Bank D,Abeokuta,OND/HND,Student,No,,
319,19,25000,4,0.5,2,0.5,0.5,27,9,39,36,18,0,0,18-20,"Below N50,000",Bank A,Female,Bank D,Abeokuta,OND/HND,Student,No,,
320,25.5,25000,2,6,30,0,0,0,10,50,-10,10,10,0,21-30,"Below N50,000",Bank M,Male,Bank M,Abeokuta,OND/HND,Student,Yes,Bank M,Bank B
321,33,75000,3,6,6,0,0.5,40,20,47,-20,-10,-10,0,31-35,"N50,000 - N100,000",Bank Q,Female,Bank Q,Abeokuta,OND/HND,Private Sector Employee,Yes,Bank O,Bank N
322,33,75000,4,6,30,0.5,0,20,11,82,-20,-10,0,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
323,33,75000,2,6,30,0.5,0,90,30,95,-10,0,0,0,31-35,"N50,000 - N100,000",Bank J,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
324,33,75000,3,6,30,0.5,0,10,2,64,-30,10,0,0,31-35,"N50,000 - N100,000",Bank O,Female,Bank J,Abeokuta,OND/HND,Self Employed,No,,
328,33,75000,6,6,6,0,0.5,30,40,69,-19,-10,-10,0,31-35,"N50,000 - N100,000",Bank H,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
329,33,75000,4,6,6,0,0.5,40,30,59,-19,-10,-10,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
330,33,75000,5,6,6,0,0.5,70,40,49,-10,-10,-10,0,31-35,"N50,000 - N100,000",Bank P,Female,Bank G,Abeokuta,OND/HND,Civil/Public Servant,No,,
347,25.5,25000,4,6,30,0,0.5,0,10,29,-10,0,0,0,21-30,"Below N50,000",Bank E,Male,Bank A,Abeokuta,OND/HND,Student,No,,
348,25.5,25000,3,6,30,0,0.5,9,-10,48,-20,-10,10,0,21-30,"Below N50,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Student,No,,
349,25.5,25000,1,6,30,0,0.5,90,0,49,-10,0,10,0,21-30,"Below N50,000",Bank N,Male,Bank A,Abeokuta,OND/HND,Student,No,,
351,50.5,75000,15,0.5,2,0,0,-114,-57,-171,-54,-54,-27,0,41-60,"N50,000 - N100,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Civil/Public Servant,Yes,Bank A,Bank J
352,33,75000,3,6,6,0,0.5,-50,-40,-1,-20,-20,10,0,31-35,"N50,000 - N100,000",Bank M,Female,Bank M,Abeokuta,Primary School leaving certificate,Private Sector Employee,Yes,Bank M,Bank E
358,25.5,75000,2,6,30,0,0,54,20,44,20,36,0,0,21-30,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
361,25.5,75000,2,6,30,0,0,54,20,44,20,36,0,0,21-30,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
369,25.5,25000,5,6,30,0,0,80,40,57,16,20,14,3,21-30,"Below N50,000",Bank B,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
374,33,175000,5,6,30,0,0,0,16,10,8,20,0,0,31-35,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
378,38,75000,8,6,6,0,0.5,54,18,49,20,32,0,0,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,Bachelor's Decree,Civil/Public Servant,No,,
383,33,25000,11,6,30,0,0,15,20,100,11,0,0,0,31-35,"Below N50,000",Bank L,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
384,33,25000,4,6,30,0,0,15,20,40,11,0,0,0,31-35,"Below N50,000",Bank P,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
409,25.5,25000,5,2,2,0.5,0.5,-8,-12,-24,-16,0,0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
420,33,375000,8,6,6,0.5,0.5,8,4,-60,30,20,0,0,31-35,"N251,000 - N500,000",Bank G,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
421,50.5,375000,2,6,30,6,30,50,17,50,60,32,8,1,41-60,"N251,000 - N500,000",Bank D,Male,,Aba,Secondary school leaving certificate,Self Employed,No,,
422,50.5,375000,6,6,30,6,30,10,34,144,20,32,8,1,41-60,"N251,000 - N500,000",Bank B,Male,,Aba,Secondary school leaving certificate,Self Employed,No,,
424,25.5,75000,2,30,30,0.5,0,0,0,7,-12,4,0,0,21-30,"N50,000 - N100,000",Bank G,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
425,25.5,75000,7,30,30,0.5,0,0,0,0,-6,4,0,0,21-30,"N50,000 - N100,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
426,33,25000,10,2,2,0.5,0,0,0,48,-14,0,3,0,31-35,"Below N50,000",Bank A,Female,Bank A,Aba,Bachelor's Decree,Unemployed,No,,
427,50.5,375000,10,6,30,2,30,22,7,50,0,8,0,1,41-60,"N251,000 - N500,000",Bank L,Male,,Aba,OND/HND,Private Sector Employee,No,,
428,50.5,375000,10,6,30,2,30,42,0,97,0,8,0,1,41-60,"N251,000 - N500,000",Bank K,Male,,Aba,OND/HND,Private Sector Employee,No,,
429,50.5,75000,8,6,30,0.5,0,8,15,44,11,-10,0,0,41-60,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
430,50.5,75000,10,6,30,0.5,0,8,15,-26,11,-10,0,0,41-60,"N50,000 - N100,000",Bank A,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
431,25.5,25000,5,2,2,0.5,0,-56,-12,24,-22,-5,-10,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Unemployed,No,,
448,38,175000,12,2,30,2,0.5,-14,-10,20,22,-10,0,0,36-40,"N101,000 - N250,000",Bank D,Male,Bank D,Aba,Secondary school leaving certificate,Self Employed,Yes,Bank D,Bank C
453,38,175000,17,2,30,0.5,0,0,0,180,16,-16,0,2,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Aba,OND/HND,Unemployed,No,,
457,50.5,375000,8,2,30,0.5,0,0,0,40,0,16,0,2,41-60,"N251,000 - N500,000",Bank G,Male,Bank B,Aba,OND/HND,Self Employed,No,,
458,50.5,375000,12,2,30,0.5,0,0,0,120,16,16,0,2,41-60,"N251,000 - N500,000",Bank B,Male,Bank B,Aba,OND/HND,Self Employed,No,,
459,50.5,375000,8,2,30,0.5,0,0,0,130,16,16,0,2,41-60,"N251,000 - N500,000",Bank C,Male,Bank B,Aba,OND/HND,Self Employed,No,,
460,65,175000,25,2,30,0.5,0.5,24,42,111,40,60,3,2,Above 60,"N101,000 - N250,000",Bank I,Male,Bank I,Aba,Bachelor's Decree,Retired,No,,
462,33,25000,6,6,2,0.5,0,-16,-6,0,-36,0,2,0,31-35,"Below N50,000",Bank L,Female,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
463,50.5,75000,12,2,2,0.5,0.5,0,0,-56,0,0,0,0,41-60,"N50,000 - N100,000",Bank N,Male,Bank N,Aba,OND/HND,Retired,No,,
465,50.5,25000,12,2,0.5,0.5,0.5,0,0,0,-10,0,0,0,41-60,"Below N50,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Unemployed,No,,
466,25.5,25000,10,2,6,0.5,0,0,10,-12,20,0,0,0,21-30,"Below N50,000",Bank G,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
467,25.5,25000,5,2,6,0.5,0,24,10,24,0,0,0,0,21-30,"Below N50,000",Bank I,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
468,25.5,25000,3,2,6,0.5,0,12,0,10,20,0,0,0,21-30,"Below N50,000",Bank E,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
472,33,75000,10,2,6,0.5,0,40,20,180,60,40,-2,3,31-35,"N50,000 - N100,000",Bank G,Female,Bank G,Aba,OND/HND,Private Sector Employee,No,,
486,50.5,25000,5,6,30,0,0,0,0,0,2,33,0,0,41-60,"Below N50,000",Bank D,Male,Bank D,Aba,No Formal Education,Self Employed,No,,
491,38,75000,7,6,30,0,0,0,-2,26,0,-5,0,0,36-40,"N50,000 - N100,000",Bank H,Male,Bank D,Aba,OND/HND,Self Employed,No,,
492,38,75000,10,6,30,0,0,0,-2,26,0,-5,0,0,36-40,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,OND/HND,Self Employed,No,,
525,33,75000,2,2,6,30,0,32,16,10,0,0,0,1,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
527,38,375000,5,30,6,2,2,48,9,43,0,0,0,0,36-40,"N251,000 - N500,000",Bank G,Male,Bank G,Aba,Primary School leaving certificate,Self Employed,No,,
529,38,175000,13,30,30,30,30,120,48,27,54,60,24,1,36-40,"N101,000 - N250,000",Bank I,Male,Bank I,Aba,Secondary school leaving certificate,Private Sector Employee,No,,
530,38,75000,8,30,30,30,6,102,54,174,13,16,10,1,36-40,"N50,000 - N100,000",Bank A,Female,Bank A,Aba,OND/HND,Self Employed,No,,
535,65,175000,8,30,30,30,30,120,60,180,40,60,30,1,Above 60,"N101,000 - N250,000",Bank B,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
536,65,175000,7,30,30,30,30,40,20,120,60,60,30,1,Above 60,"N101,000 - N250,000",Bank F,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
537,38,75000,2,30,30,30,30,80,40,120,48,54,27,1,36-40,"N50,000 - N100,000",Bank O,Male,Bank O,Aba,No Response,Self Employed,No,,
538,25.5,75000,4,30,30,30,6,68,16,144,40,40,20,1,21-30,"N50,000 - N100,000",Bank P,Male,Bank P,Aba,Bachelor's Decree,Others,No,,
540,25.5,25000,6,30,30,30,30,70,36,165,0,8,20,1,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,OND/HND,Student,No,,
541,38,175000,5,30,30,30,30,96,50,159,40,50,30,1,36-40,"N101,000 - N250,000",Bank J,Male,Bank J,Aba,Secondary school leaving certificate,Self Employed,No,,
542,33,175000,10,30,30,30,30,90,47,59,48,54,30,1,31-35,"N101,000 - N250,000",Bank N,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
543,25.5,75000,5,2,30,30,0,4,2,90,0,0,0,1,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
544,25.5,75000,7,2,30,30,0,12,6,0,48,0,0,1,21-30,"N50,000 - N100,000",Bank K,Male,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
547,33,25000,8,30,30,30,6,120,60,96,60,60,30,1,31-35,"Below N50,000",Bank D,Female,Bank D,Aba,OND/HND,Unemployed,No,,
549,25.5,75000,4,30,30,30,6,114,60,156,26,32,24,1,21-30,"N50,000 - N100,000",Bank F,Female,Bank F,Aba,OND/HND,Private Sector Employee,No,,
550,33,75000,4,0.5,6,2,0,32,32,70,40,48,0,3,31-35,"N50,000 - N100,000",Bank J,Female,Bank J,Aba,OND/HND,Private Sector Employee,No,,
551,33,75000,10,0.5,6,2,0,32,32,70,40,48,0,3,31-35,"N50,000 - N100,000",Bank B,Female,Bank J,Aba,OND/HND,Private Sector Employee,No,,
552,38,75000,13,2,6,0.5,0,0,6,60,14,0,0,0,36-40,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,No Formal Education,Self Employed,No,,
557,25.5,25000,5,30,30,30,6,18,60,150,26,0,20,1,21-30,"Below N50,000",Bank G,Male,Bank G,Aba,OND/HND,Private Sector Employee,No,,
560,38,375000,10,6,6,0,30,66,8,67,15,18,0,1,36-40,"N251,000 - N500,000",Bank A,Male,,Aba,OND/HND,Self Employed,No,,
561,38,375000,13,6,6,0,30,96,8,53,15,18,16,1,36-40,"N251,000 - N500,000",Bank N,Male,,Aba,OND/HND,Self Employed,No,,
562,38,75000,8,30,30,30,30,91,51,165,30,60,30,1,36-40,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
567,38,75000,10,2,6,0,0,40,0,0,16,6,0,0,36-40,"N50,000 - N100,000",Bank D,Female,Bank D,Aba,Secondary school leaving certificate,Self Employed,No,,
568,38,75000,10,2,6,0,0,40,0,0,16,6,0,0,36-40,"N50,000 - N100,000",Bank A,Female,Bank D,Aba,Secondary school leaving certificate,Self Employed,No,,
603,38,175000,8,2,6,0.5,0.5,32,16,120,40,0,1,2,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Aba,Bachelor's Decree,Private Sector Employee,No,,
605,25.5,25000,2,2,6,0,30,46,30,50,10,2,-4,1,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Student,No,,
616,33,175000,10,2,30,30,0,96,48,60,20,0,0,1,31-35,"N101,000 - N250,000",Bank C,Female,Bank F,Aba,Secondary school leaving certificate,Self Employed,No,,
617,33,175000,10,2,30,30,0,64,32,110,20,0,0,1,31-35,"N101,000 - N250,000",Bank F,Female,Bank F,Aba,Secondary school leaving certificate,Self Employed,No,,
618,38,25000,2,2,6,0.5,0.5,28,14,120,40,48,0,3,36-40,"Below N50,000",Bank A,Female,Bank A,Aba,Secondary school leaving certificate,Self Employed,No,,
623,25.5,25000,2,2,6,0,0,0,0,36,16,0,0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Aba,OND/HND,Student,No,,
624,38,175000,7,0.5,6,0.5,0,16,8,180,24,0,0,0,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
625,38,175000,12,0.5,6,0.5,0,8,10,110,20,0,0,0,36-40,"N101,000 - N250,000",Bank A,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
629,38,375000,5,2,6,0.5,0,36,0,180,50,40,3,3,36-40,"N251,000 - N500,000",Bank F,Male,Bank N,Aba,Secondary school leaving certificate,Self Employed,No,,
630,38,375000,10,2,6,0.5,0,42,0,140,30,40,3,2,36-40,"N251,000 - N500,000",Bank N,Male,Bank N,Aba,Secondary school leaving certificate,Self Employed,No,,
631,25.5,25000,3,2,6,0,0,16,8,60,20,0,0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Private Sector Employee,No,,
651,25.5,175000,10,30,6,6,6,36,18,108,16,16,0,2,21-30,"N101,000 - N250,000",Bank G,Male,Bank G,Aba,No Response,Self Employed,No,,
662,50.5,25000,10,6,2,2,0.5,0,-24,0,7,-5,0,0,41-60,"Below N50,000",Bank J,Female,Bank B,Aba,Primary School leaving certificate,Self Employed,No,,
663,50.5,25000,7,6,2,2,0.5,0,-12,-42,14,20,4,0,41-60,"Below N50,000",Bank B,Female,Bank B,Aba,Primary School leaving certificate,Self Employed,No,,
665,19,25000,3,2,2,0.5,0,-32,0,0,0,20,0,0,18-20,"Below N50,000",Bank Q,Female,Bank Q,Aba,OND/HND,Student,No,,
669,38,75000,13,6,6,2,0.5,-8,-28,-90,0,0,4,0,36-40,"N50,000 - N100,000",Bank I,Female,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
670,33,75000,2,2,0.5,0.5,0.5,0,0,-60,8,0,0,0,31-35,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
672,19,25000,2,0.5,0.5,0,0,0,-18,24,0,0,0,0,18-20,"Below N50,000",Bank B,Female,Bank B,Aba,Secondary school leaving certificate,Student,No,,
673,33,75000,5,6,6,0.5,0,0,-6,0,48,40,20,0,31-35,"N50,000 - N100,000",Bank H,Female,Bank J,Aba,Bachelor's Decree,Civil/Public Servant,No,,
674,33,75000,10,6,6,2,0.5,0,-8,36,30,36,18,0,31-35,"N50,000 - N100,000",Bank H,Female,Bank H,Aba,Bachelor's Decree,Civil/Public Servant,No,,
676,25.5,25000,7,0.5,2,0.5,0,-16,0,0,18,36,18,0,21-30,"Below N50,000",Bank H,Female,Bank H,Aba,Bachelor's Decree,Private Sector Employee,No,,
678,33,75000,3,6,6,0.5,0,-3,-4,-5,8,20,15,0,31-35,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,Primary School leaving certificate,Self Employed,No,,
679,33,25000,5,2,6,0.5,0,10,-2,0,20,0,8,0,31-35,"Below N50,000",Bank G,Female,Bank B,Aba,Bachelor's Decree,Private Sector Employee,No,,
680,33,25000,9,2,6,0.5,0,22,0,24,0,0,0,0,31-35,"Below N50,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Private Sector Employee,No,,
681,33,25000,5,2,6,0.5,0,22,0,24,10,7,0,0,31-35,"Below N50,000",Bank C,Female,Bank B,Aba,Bachelor's Decree,Private Sector Employee,No,,
682,33,75000,11,2,6,0.5,0.5,8,-18,4,8,24,15,0,31-35,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,Bachelor's Decree,Private Sector Employee,No,,
683,33,75000,10,2,6,0.5,0,0,-16,0,32,20,0,0,31-35,"N50,000 - N100,000",Bank D,Female,Bank D,Aba,OND/HND,Self Employed,No,,
687,33,25000,5,2,2,0.5,0,0,-18,0,20,28,14,0,31-35,"Below N50,000",Bank D,Female,Bank D,Aba,Bachelor's Decree,Unemployed,No,,
688,33,75000,10,2,2,0.5,0,0,-16,24,0,20,10,0,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Aba,Bachelor's Decree,Private Sector Employee,No,,
689,38,75000,6,6,6,2,0.5,0,-12,0,40,14,7,0,36-40,"N50,000 - N100,000",Bank L,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
695,33,75000,11,2,2,0.5,0.5,0,-10,18,48,30,21,0,31-35,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,Bachelor's Decree,Private Sector Employee,No,,
703,50.5,75000,15,2,2,0.5,0.5,16,24,12,24,20,4,2,41-60,"N50,000 - N100,000",Bank N,Female,Bank N,Aba,Master's Degree,Civil/Public Servant,No,,
704,33,25000,8,30,30,30,6,120,60,100,60,60,30,1,31-35,"Below N50,000",Bank D,Female,Bank D,Aba,OND/HND,Unemployed,No,,
706,25.5,75000,4,30,30,30,6,114,60,156,30,32,24,1,21-30,"N50,000 - N100,000",Bank F,Female,Bank F,Aba,OND/HND,Private Sector Employee,No,,
707,33,75000,5,6,6,2,0.5,12,-36,24,42,0,0,0,31-35,"N50,000 - N100,000",Bank H,Male,Bank D,Aba,Bachelor's Decree,Self Employed,No,,
712,38,75000,16,6,6,0.5,2,26,20,120,0,4,0,2,36-40,"N50,000 - N100,000",Bank Q,Female,Bank Q,Aba,OND/HND,Civil/Public Servant,No,,
716,19,25000,5,6,6,0,30,21,60,100,10,10,30,1,18-20,"Below N50,000",Bank P,Male,Bank P,Aba,Secondary school leaving certificate,Student,No,,
717,50.5,75000,16,30,2,0,0,60,10,56,28,10,20,2,41-60,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,No Formal Education,Self Employed,No,,
720,65,175000,21,6,30,30,30,5,10,160,30,20,10,1,Above 60,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,Master's Degree,Retired,No,,
721,33,75000,7,30,6,6,30,60,8,53,0,10,6,1,31-35,"N50,000 - N100,000",Bank L,Female,Bank L,Aba,Bachelor's Decree,Student,No,,
722,33,75000,15,30,6,6,30,70,-10,46,27,12,6,1,31-35,"N50,000 - N100,000",Bank I,Female,Bank L,Aba,Bachelor's Decree,Student,No,,
723,50.5,75000,7,6,6,0,0,32,0,60,-7,8,10,0,41-60,"N50,000 - N100,000",Bank E,Female,Bank Q,Aba,OND/HND,Civil/Public Servant,No,,
724,50.5,75000,8,6,6,0,0,38,-10,70,-7,1,10,0,41-60,"N50,000 - N100,000",Bank Q,Female,Bank Q,Aba,OND/HND,Civil/Public Servant,No,,
725,38,75000,13,6,6,0.5,30,-39,0,37,60,0,8,1,36-40,"N50,000 - N100,000",Bank D,Female,Bank D,Aba,OND/HND,Civil/Public Servant,No,,
726,38,75000,6,6,6,0.5,30,-39,0,57,30,0,8,1,36-40,"N50,000 - N100,000",Bank F,Female,Bank D,Aba,OND/HND,Civil/Public Servant,No,,
